45:48.5,I feel great!,,
46:08.7,Today I got passed over for a promotion ðŸ˜”,,
46:23.4,Wow today is great!,,
46:37.6,Rest In Peace my GPA,,
47:16.9,I got a new job! I'm so happy I can finally leave my old place.,,
47:45.6,First day in the job was well yikes. The traffic was terrible and my new boss hates me.,,
48:12.9,Day two on the job I learned how to sneak snacks into my cubicle. I love eating candy all day,,
50:40.2,I love puppies,,
52:02.0,When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here  I don't care if it hurts I want to have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here  Oh oh  She's running out again She's running out She run run run run Run  Whatever makes you happy Whatever you want You're so fucking special I wish I was special  But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here 2018-12-01 14:52:47.354046,"It might seem crazy what I'm 'bout to say Sunshine she's here, you can take a break I'm a hot air balloon that could go to space With the air, like I don't care baby by the way Huh, because I'm happy Clap along if you feel like a room without a roof Because I'm happy Clap along if you feel like happiness is the truth Because I'm happy Clap along if you know what happiness is to you Because I'm happy Clap along if you feel like that's what you wanna do Here come bad news, talking this and that (Yeah) Well, give me all you got, and don't hold it back  (Yeah) Well, I should probably warn you I'll be just fine  (Yeah) No offense to you, don't waste your time Here's why Because I'm happy Clap along if you feel like a room without a roof 2018-12-01 14:53:22.323138","I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you And I cannot change you, so I must replace you, oh Easier said than done, I thought you were the one Listenin' to my heart instead of my head You found another one, but I am the better one I won't let you forget me I still see your shadows in my room Can't take back the love that I gave you It's to the point where I love and I hate you"
52:02.0,“This incredible artist had ALS and had been lying motionless in bed for 7 years… we were determined to help him draw again.” Mick Ebeling and Not Impossible Labs tackle the impossible every day. What should they tackle next?,,
52:02.0,A month ago I applied for a small loan at Wells Fargo for the 1st time ever to consolidate some small bills. They denied the loan. I went to a local Credit Union and they gave me the loan. Today I signed up for a checking/savings account at that Credit Union and canceled my accounts with Wells Fargo. Couldn't be happier to stop doing business with a crooked ass corporation.,,
52:02.0,My wife and I lived on the west coast and I had to leave my job (internship expired). We were running shorter and shorter on cash and were forced to break out our credit card to stay afloat for a while. We used it for rent a few times (big no-no) and for lots of other things. We were both miserable out there so we moved to the midwest in June of 2018. By the time the move was over we had about 4k racked up on the card. We both found good jobs after our move and I wanted this debt gone. This morning I made my last payment of 400 dollars and we now have a 0 balance on the card! Now we can actually start putting some money away!,,
52:02.0,Khashoggi an outspoken critic of the Saudi crown prince was murdered inside the Saudi consulate in Istanbul. He had left Saudi Arabia in self-imposed exile last year and settled in the US state of Virginia where he was a regular contributor to The Washington Post.,,
52:02.0,Parents who force unremorseful kids to apologize to others before they’re truly sorry may do more harm than good suggests a new study. That’s because the point main point of an apology is lost as children may dislike the apologizer even more after the insincere apology than before.,,
52:02.0,"I've heard from countless people that Python is ""slower"" than languages like C++ I was wondering how this affects the final product - as in web applications in terms of latency times for users etc?",,
52:02.0,I’ve tried applying it daily on my lashes for 2 weeks and noticed such DRAMATIC difference. My lashes were much much longer and thicker. However as soon as I stopped applying it every day my lashes started falling out more than usual (3-4 per day as opposed to 1-2 per day). The shedding lasted for a few days then it went back to normal. It has been a few months now since I stopped and my lashes are now back at their normal length/density.,,
52:02.0,It took our whole team months to plan and prepare this big initiative to promote our platform. And it took even longer to get our platform to the point where it delivered real value for people and to be ready for big promotion. Please support and share if it's something that might interest you or someone you know.,,
52:02.0,Hey guys I've been working on learning Javascript for a month or so now and the hardest part has been getting it set up to even see what my code does. This week I finally managed to get a local web server running on my machine using node.js but I wasn't sure if I really understood I was doing. Today while looking for a tutorial on the $.getJSON function I came across a paragraph on setting up a web server and realized that it actually made sense to me! It goes:,,
52:02.0,"""Jeb Neil Marvin Doro and I are saddened to announce that after 94 remarkable years our dear Dad has died"" said former President George W. Bush in a statement. ""George H. W. Bush was a man of the highest character and the best dad a son or daughter could ask for. The entire Bush family is deeply grateful for 41’s life and love for the compassion of those who have cared and prayed for Dad and for the condolences of our friends and fellow citizens.""",,
52:02.0,"I have a list of player point projections the results and the absolute value of the amount missed by. I want to get a picture on how accurate the projections are. I am not the best with stats took one class in college and most of what I know comes from excel anyways so I am not exactly sure how to approach this. My thoughts are that I want to get the Variation for my ""missed by"" column then get the Standard Deviation of the Variation then get the Mean missed by. Then I could get the standard error and find a confidence interval so I could see that 99% of all projections were within +x and -x where x = Mean miss +/- the CI.",,
